Entity,Code,Year,"Deaths that are from all causes attributed to high systolic blood pressure, in both sexes aged all ages","Deaths that are from all causes attributed to diet high in sodium, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in whole grains, in both sexes aged all ages","Deaths that are from all causes attributed to alcohol use, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in fruits, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe water source, in both sexes aged all ages","Deaths that are from all causes attributed to secondhand smoke, in both sexes aged all ages","Deaths that are from all causes attributed to low birth weight, in both sexes aged all ages","Deaths that are from all causes attributed to child wasting, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe sex, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in nuts and seeds, in both sexes aged all ages","Deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged all ages","Deaths that are from all causes attributed to diet low in vegetables, in both sexes aged all ages","Deaths that are from all causes attributed to smoking, in both sexes aged all ages","Deaths that are from all causes attributed to high fasting plasma glucose, in both sexes aged all ages","Deaths that are from all causes attributed to air pollution, in both sexes aged all ages","Deaths that are from all causes attributed to high body-mass index, in both sexes aged all ages","Deaths that are from all causes attributed to unsafe sanitation, in both sexes aged all ages","Deaths that are from all causes attributed to drug use, in both sexes aged all ages","Deaths that are from all causes attributed to low bone mineral density, in both sexes aged all ages","Deaths that are from all causes attributed to vitamin a deficiency, in both sexes aged all ages","Deaths that are from all causes attributed to child stunting, in both sexes aged all ages","Deaths that are from all causes attributed to non-exclusive breastfeeding, in both sexes aged all ages","Deaths that are from all causes attributed to iron deficiency, in both sexes aged all ages","Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages","Deaths that are from all causes attributed to low physical activity, in both sexes aged all ages","Deaths that are from all causes attributed to no access to handwashing facility, in both sexes aged all ages","Deaths that are from all causes attributed to high ldl cholesterol, in both sexes aged all ages"
African Region (WHO),,1999,468046.34,53339.08,57996.57,213705.78,55043.23,809734.3,58409.004,719206.3,1158212.4,970970.06,16098.907,828107.9,44808.895,212744.42,253753.75,958371.5,174097.61,601833.06,37906.75,17706.723,90479.55,291485.1,170927.7,21143.627,129402.64,21766.951,483707.12,113694.09
African Region (WHO),,2000,481708.2,53805.004,59358.68,218155.23,56148.53,796799.6,58931.7,726865,1135129.8,1051104,16243.495,828900.06,45457.06,215528.9,262535.4,964294.7,181505.31,591900.2,41366.062,18203.432,86221.47,283959.34,167538.27,21489.031,134389.53,22643.248,479228.3,116814.53
African Region (WHO),,2001,489425.22,53832.508,60225.215,219326.67,56525.207,784003.8,58840.46,733723.4,1108270.5,1118730.9,16136.494,823704.6,45598.637,214909.25,268203.06,962189.4,186356.89,582015.25,44345.824,18296.43,81650.18,273800.94,164763.62,21839.01,137186.44,23108.982,472902.66,118656.23
African Region (WHO),,2002,499968.84,54310.895,61419.73,222074.16,57307.125,765609.56,59034.87,740139,1081002.6,1174797.2,16179.173,820163.8,46038.945,215497.94,276265.16,962116.2,192925.3,567639.5,46861.758,18836.914,75600.39,261790.33,160955.17,22350.049,140834.75,23782.547,465450.78,121236.64
African Region (WHO),,2003,509009.03,54680.086,62421.37,225780.45,58050.52,743436.6,59004.082,746639,1046630.7,1217479.5,16212.247,813190.25,46452.87,216621.47,284049.8,958149.94,200242.95,550731.25,48798.176,19070.566,70312.52,249699.31,156541.58,22958.303,144006.98,24310.55,455518.28,123505.47
African Region (WHO),,2004,517095.4,55122.004,63376.37,228161.28,58553.617,722670.3,58952.785,751322.2,1012280.7,1237776.4,16198.779,804968,46729.547,216528.17,291149.06,952948.06,206509.98,534749.25,49754.625,19381.316,64115.484,236324.33,152197.17,23448.432,146933.61,24809.414,445813.22,125459.45
African Region (WHO),,2005,524212.06,55338.082,64119.93,229042.55,58914.152,706567,58764.734,756577.3,984364.25,1224978.2,16201.428,797363.6,46861.375,216048.89,297889.75,948635.44,212390.77,522484.22,49528.098,19754.367,57684.266,224840.14,148561.3,23661.172,149713.77,25337.088,437708.5,126953.695
African Region (WHO),,2006,535862.8,56022.438,65207.074,230952.73,59683.195,704986.7,59153.14,759316.9,956324.2,1179693.9,16330.575,793708.1,47316.523,217166.77,307393.75,950086.2,220286.25,520948.06,48074.688,20214.674,48580.812,207394.12,147426.88,23812.377,154171.06,26072.455,436745.25,129470.09
African Region (WHO),,2007,544886.4,56374.945,66020.336,231843.06,60033.645,691290.5,59009.094,760955.5,923927.3,1109367.1,16294.021,784441.75,47526.242,216340.03,314792.53,944671,226904.48,510399.72,45998.6,20483.691,43296.48,194504.66,143543.66,23784.578,158311.62,26541.959,429564.3,131341
African Region (WHO),,2008,557983.25,57201.4,67325.016,233256.94,60828.05,674316.44,58963.156,760204.2,890844.3,1028815.06,16386.473,772367.06,48078.098,216665.84,324657.72,936936.94,234934.6,497126.8,43679.81,20816.977,41521.08,186569.73,139395.83,23618.566,163181.16,27251.875,419803.2,134360.1
African Region (WHO),,2009,572502.6,58137.57,68825.18,235821.8,61809.21,661075,59143.57,758145.5,861116.2,959432.4,16517.816,762008.7,48754.28,217700.78,335195.7,932183.06,244543.06,486695.38,41205.6,21291.74,38905.047,177461.98,135154.17,23604.771,169044.34,28061.096,412293.22,137727.1
African Region (WHO),,2010,584997.5,58957.055,70191.06,237909.48,62692.695,642357.8,59230.54,754586.56,831572.75,905581.25,16650.355,750261.94,49384.62,218518,344452.2,926694.4,253822.8,471785.8,39486.11,21713.77,37337.066,170536.64,130246.06,23459.156,174710.47,28876.844,402566.16,140736.92
African Region (WHO),,2011,598568.44,60063.082,71952.11,238835.52,63706.242,621837,59391.098,749967.56,807989.56,854820.8,16834.332,737828,50225.9,219104.23,353755.56,922752.4,263398.34,455194.22,38131.2,22233.068,36670.664,166823.89,124701.7,23333.672,182665.3,29669.67,392043.53,144304.33
African Region (WHO),,2012,612805.56,61171.703,73758.984,241731.94,64809.652,602998.9,59897.258,744159.7,780255.44,800077.3,17028.035,726512.4,51173.99,220368.58,363611.94,922904.7,274115,439474.56,36807.965,22733.188,33690.73,159329.64,119127.086,22919.268,194365.73,30459.049,383718.28,148054.92
African Region (WHO),,2013,626459.2,62334.51,75275.99,245846.5,65860.44,588807.75,60533.387,737582.8,756667.9,751927,17210.68,714718.75,52010.39,221841.03,373744.34,923652.3,285910.3,427092.53,35628.92,23214.412,30189.176,152038.17,114170.625,22568.145,207112.84,31270.479,377753.1,151211.44
African Region (WHO),,2014,641266.94,63570.117,77009.47,250506.14,67196.16,575613.3,61386.168,729509.3,733986.3,717193.9,17582.387,703721.7,53023.816,224484.94,385157.8,923884.75,299840.5,415677.62,34985.87,23714.938,27693.79,145517.83,108970.914,22195.762,218429.55,32340.236,372355.78,154992.28
African Region (WHO),,2015,659899.44,65173.887,79616.34,253599.69,68892.96,560250.94,62308.406,718508.56,707831.06,693418,18061.531,694839.2,54451.234,227268.58,397828.88,923475.1,313495.22,402441.2,34831.344,24288.082,24732.24,137928.64,103591.664,21655.092,225840.8,33695.53,365089.75,160649
African Region (WHO),,2016,673472.06,66687.625,81401.95,257280.97,70169.84,549702.06,62832.402,708454.6,685558.8,677732.5,18420.016,687868.2,55561.516,229184.61,407670.94,917994.56,326452.8,393157.5,35125.516,24693.98,22171.701,131261.66,99348.7,21328.014,227132.12,34554.906,359263.5,164422.95
African Region (WHO),,2017,688421,68294.2,83575.305,262395.66,71598.01,541333,63074.98,693626.7,658885.7,652375.25,18835.635,677504,56872.695,231790.73,417525.56,907307.2,339165.22,385433.72,35324.492,25310.494,19990.21,123830.82,95454.85,21003.777,226816.72,35585.508,352197.12,169006.84
African Region (WHO),,2018,702329.75,70006.43,85856.62,266046.84,72780.15,513654.53,63165.387,681495.44,617454.3,615622.7,19146.172,667481,58223.117,233547.86,426075.25,900959.94,349072.25,364264.2,35493.83,25962.57,19031.8,114354.28,90050,20726.979,229646.27,36011.58,338327.94,173406.12
African Region (WHO),,2019,718298.9,71736.445,88234.13,270441.34,74276.21,492202.1,63688.203,670297.1,584478.44,596450.3,19594.25,656085.25,59655.066,236433.22,437337.88,897242.4,361538.88,347980.4,36543.453,26559.559,18084.24,107069.05,86145.69,20496.781,237234.95,36619.08,327472.5,178228.81
Albania,ALB,1990,4280.0444,1561.2943,740.8927,289.1087,343.90854,53.345936,902.228,731.2306,839.83264,46.64455,309.18814,1977.7633,185.55489,2751.6006,868.21094,2964.7466,1416.9467,31.13475,63.56024,43.69147,29.159243,390.41306,170.93282,4.08849,937.6756,116.58834,67.333786,1445.8444
Albania,ALB,1991,4383.5093,1593.0746,763.5626,307.7018,355.22858,54.02715,926.4091,722.61865,836.0295,48.5115,317.29974,2033.1484,186.15138,2809.0579,902.40753,3037.9163,1462.581,31.875479,68.268776,48.249573,3.5540335,355.34918,170.0235,3.7932003,949.1993,119.079575,70.0988,1485.9978
Albania,ALB,1992,4224.2983,1530.2125,737.7246,313.7736,341.8464,51.974678,892.4669,709.856,809.37177,47.217182,303.86603,1964.0361,174.08421,2705.3171,884.19684,2928.1514,1414.6917,30.91097,68.783806,45.022953,3.4253542,342.146,162.57481,3.1905682,907.73334,115.44658,67.81456,1428.9216
Albania,ALB,1993,4056.4253,1465.702,710.10925,322.33566,326.6831,47.213383,849.0844,695.55225,763.37976,45.283535,289.356,1880.7543,161.54248,2603.1292,865.0612,2800.3262,1362.7716,28.335434,71.87675,43.680725,3.1036527,320.00098,151.45961,2.6793401,865.8944,111.4096,64.47916,1368.3741
Albania,ALB,1994,3855.3765,1385.3289,672.8016,321.08188,307.35638,56.573406,789.75574,678.7834,704.07654,43.920227,270.59317,1771.026,147.07722,2452.9595,837.30273,2632.2195,1300.7423,34.211678,74.934845,41.987514,3.5921886,290.89905,141.60004,2.1542327,813.9568,106.18221,60.148903,1288.9467
Albania,ALB,1995,4045.7932,1445.9694,707.14526,350.60608,319.86636,29.264944,772.8546,647.5952,599.77783,46.534973,280.6643,1792.2079,147.80109,2550.0374,892.8431,2659.7341,1371.1558,17.642725,80.22088,43.51892,1.7902169,244.75505,116.90288,1.9277014,828.043,111.390236,52.473267,1350.605
Albania,ALB,1996,4242.568,1510.084,743.2154,387.8088,330.9464,22.663017,756.9758,619.81104,512.6118,48.611694,290.2548,1795.5739,147.20789,2674.3691,951.0897,2684.9436,1450.3241,13.538424,84.833336,45.021404,1.7347877,206.18842,100.35247,1.6956815,858.0666,115.90142,45.74735,1415.9625
Albania,ALB,1997,4388.155,1545.5369,770.1995,436.70987,335.00385,18.967573,738.95105,620.9044,437.5165,50.31068,294.73514,1757.4845,142.67877,2744.9543,998.1073,2685.7163,1531.2428,11.206442,87.58372,46.27843,1.8249214,173.04703,88.16981,1.5235033,898.7001,119.30543,39.97938,1464.783
Albania,ALB,1998,4505.9316,1565.793,796.46045,480.46774,334.07663,15.592993,721.1242,613.19934,373.9464,50.750423,297.48288,1691.9031,136.23656,2788.3816,1038.5548,2661.3462,1605.9575,9.047255,92.85056,47.334328,1.3532798,145.59602,76.95387,1.3570278,943.59015,123.106346,34.666862,1512.7599
Albania,ALB,1999,4638.287,1581.7712,823.47784,497.35968,330.48315,11.917275,700.3295,537.8499,306.28003,53.279026,298.85626,1608.6013,129.3022,2794.6804,1083.7303,2611.0303,1678.9664,6.669335,90.049416,47.375816,0.7414889,117.35547,60.939705,1.1634499,977.6227,129.96364,28.311628,1560.1592
Albania,ALB,2000,4721.5605,1597.0568,848.7131,511.38745,321.67212,9.9373045,672.53265,470.00317,236.61931,53.10801,299.75723,1513.513,121.60546,2831.889,1116.9625,2536.665,1717.8376,5.4325123,93.09943,47.404594,0.5567861,90.247025,47.021812,1.0872571,997.12805,135.3901,23.516273,1606.694
Albania,ALB,2001,4695.0293,1570.1838,851.9735,516.42303,302.97488,8.736359,634.0723,429.49695,181.49054,52.10146,291.85428,1401.7106,109.87005,2767.937,1122.6757,2416.0698,1716.6367,4.591706,95.87591,47.9692,0.30949354,67.92111,37.197155,0.91091913,984.4824,138.13634,19.478193,1608.0775
Albania,ALB,2002,5053.34,1671.8608,927.6458,554.06165,305.89114,7.602517,644.233,393.18213,143.4487,55.31111,307.8738,1397.2001,105.45664,2897.9949,1221.8651,2480.8923,1849.2566,3.7940998,100.803894,50.4078,0.23000874,52.015324,29.755535,0.8563777,1047.276,153.30818,16.963379,1746.1946
Albania,ALB,2003,5537.9595,1816.3329,1028.6407,609.48145,311.93826,6.864051,668.9174,361.65784,113.80588,58.852524,330.2856,1416.3761,101.27882,3100.1785,1351.3148,2595.1194,2033.18,3.2822218,104.60867,53.499344,0.17735992,39.883404,23.817112,0.7785653,1138.0283,172.19112,15.427283,1931.961
Albania,ALB,2004,5698.591,1861.7288,1072.3136,643.9369,297.4997,6.2533407,659.6032,327.14685,89.887115,59.97871,332.79706,1351.6506,90.58711,3166.1003,1400.828,2563.436,2110.9197,2.8494036,104.281,55.527107,0.14154427,30.402685,18.872807,0.73940367,1170.9867,179.874,13.412175,2007.9769
Albania,ALB,2005,5729.6406,1855.3529,1087.741,640.5701,278.29462,5.736269,641.85944,298.90906,73.84445,62.62786,327.03012,1260.6174,80.7971,3108.3745,1411.5457,2474.156,2139.4119,2.5422351,95.1886,51.15511,0.11395558,24.149965,15.24871,0.7896399,1175.6241,185.24274,11.632313,2032.6373
Albania,ALB,2006,5560.638,1788.1165,1064.7115,618.3608,249.97891,5.1373043,608.0423,273.59482,62.16969,62.14291,309.73984,1130.573,70.30756,2973.473,1373.5051,2314.5327,2090.7637,2.250664,89.91543,49.963684,0.09876758,19.890556,12.576726,0.7389741,1148.6821,184.34961,9.983789,1984.6432
